iri	iri name	element	element label
EO:0007165	growth hormone treatment	CHEBI:37848	plant hormone
EO:0001038	osmotic stress treatment	GO:0006970	response to osmotic stress
EO:0007406	nitrate regimen	CHEBI:17632	nitrate
EO:0007068	ethylene treatment	CHEBI:18153	ethene
EO:0007242	iron nutrient regimen	CHEBI:18248	iron atom
EO:0007387	manganese nutrient regimen	CHEBI:18291	manganese atom
EO:0007080	jasmonic acid treatment	CHEBI:18292	jasmonic acid
EO:0007105	abscisic acid treatment	CHEBI:22152	2-cis-abscisic acid
EO:0007074	auxin treatment	CHEBI:22676	auxin
EO:0007297	calcium nutrient regimen	CHEBI:22984	calcium atom
EO:0007244	chlorine nutrient regimen	CHEBI:23116	chlorine atom
EO:0007066	cytokinin treatment	CHEBI:23530	cytokinin
EO:0007225	fluorine nutrient regimen	CHEBI:24061	fluorine atom
EO:0007183	herbicide treatment	CHEBI:24527	herbicide
EO:0007633	imidazolinone treatment	CHEBI:24781	imidazolinone
EO:0007632	insecticide treatment	CHEBI:24852	insecticide
EO:0007230	iodine nutrient regimen	CHEBI:24859	iodine atom
EO:0007185	salt treatment	CHEBI:24866	salt
EO:0007288	magnesium nutrient regimen	CHEBI:25107	magnesium atom
EO:0007284	nitrogen macronutrient regimen	CHEBI:25555	nitrogen atom
EO:0007278	oxygen regimen	CHEBI:25805	oxygen atom
EO:0007167	pesticide treatment	CHEBI:25944	pesticide
EO:0007293	potassium nutrient regimen	CHEBI:26216	potassium atom
EO:0007295	sulfur nutrient regimen	CHEBI:26833	sulfur atom
EO:0007309	zinc nutrient regimen	CHEBI:27363	zinc atom
EO:0007273	boron nutrient regimen	CHEBI:27560	boron atom
EO:0007232	selenium nutrient regimen	CHEBI:27568	selenium atom
EO:0007235	silicon nutrient regimen	CHEBI:27573	silicon atom
EO:0007303	carbon nutrient regimen	CHEBI:27594	carbon atom
EO:0007276	cobalt nutrient regimen	CHEBI:27638	cobalt atom
EO:0007228	chromium nutrient regimen	CHEBI:28073	chromium atom
EO:0007397	phosphorus nutrient regimen	CHEBI:28659	phosphorus atom
EO:0007253	molybdenum nutrient regimen	CHEBI:28685	molybdenum atom
EO:0007261	copper nutrient regimen	CHEBI:28694	copper atom
EO:0007306	aluminum nutrient regimen	CHEBI:28984	aluminium atom
EO:0007134	acidic pH growth media environment	CHEBI:37527	acid
EO:0007371	Meloidogyne javanica	NCBITaxon:6303	Meloidogyne javanica
EO:0007372	Meloidogyne incognita	NCBITaxon:6306	Meloidogyne incognita
EO:0007195	rice ragged stunt virus	NCBITaxon:42475	rice ragged stunt virus
EO:0007318	rice yellow mottle virus	NCBITaxon:31744	rice yellow mottle virus
EO:0007362	Balansia oryzae-sativae	NCBITaxon:116609	Ephelis japonica
EO:0007305	Cnaphalocrocis medinalis	NCBITaxon:437488	Cnaphalocrocis medinalis
EO:0007211	Cochliobolus miyabeanus	NCBITaxon:101162	Bipolaris oryzae
EO:0007296	Dicladispa armigera	NCBITaxon:111238	Dicladispa armigera
EO:0007229	Gibberella fujikuroi	NCBITaxon:5127	Fusarium fujikuroi
EO:0007226	Magnaporthe grisea	NCBITaxon:148305	Magnaporthe grisea
EO:0007363	Magnaporthe salvinii	NCBITaxon:165778	Nakataea oryzae
EO:0007212	Mycoplasma	NCBITaxon:2093	Mycoplasma
EO:0007308	Nephotettix spp	NCBITaxon:94399	Nephotettix
